dataset,comparison,other,mean_default,mean_other,mean_diff,ci_lo,ci_hi,p_wilcoxon,stars,n_pairs
LINCS,default_vs_best_embedding,CheMeleon,0.1514727363681841,0.1233526763381691,0.028120060030015007,0.026207441220610306,0.030111386943471735,6.635793708368876e-215,***,39980
LINCS,default_vs_delta_ref,delta_ref,0.1514727363681841,0.06119859929964982,0.09027413706853427,0.0883150387693847,0.09232042896448224,0.0,***,39980
LINCS,default_vs_mean_delta,mean_delta,0.1514727363681841,0.058450225112556285,0.09302251125562781,0.0906625187593797,0.09546277513756879,0.0,***,39980
LINCS,default_vs_runner_up,CheMeleon,0.1514727363681841,0.1233526763381691,0.028120060030015007,0.026207441220610306,0.030111386943471735,6.635793708368876e-215,***,39980
Tahoe,default_vs_best_embedding,ChemBERTa-77M-MLM,0.7907055491180636,0.4506051242435947,0.34010042487446895,0.33622817690227885,0.34397083816145224,0.0,***,7767
Tahoe,default_vs_delta_ref,delta_ref,0.7907055491180636,0.5013995107506115,0.28930603836745206,0.2865388502639372,0.2917485515643105,0.0,***,7767
Tahoe,default_vs_mean_delta,mean_delta,0.7907055491180636,0.3538521951847561,0.4368533539333076,0.43342210634736705,0.44009418050727434,0.0,***,7767
Tahoe,default_vs_runner_up,ChemBERTa-77M-MLM,0.7907055491180636,0.4506051242435947,0.34010042487446895,0.33622817690227885,0.34397083816145224,0.0,***,7767
