arm,val_spearman,test_pearson,ci_lo,ci_hi
Average of replicates,0.205626,0.17787468734367182,0.1670354462255109,0.19788425386211503
Single draw (default),0.175163,0.1514727363681841,0.14110438303637204,0.17155653082984665
Resample each epoch,0.182099,0.1556703351675838,0.14513282522250948,0.1769858644214313
