term,coef,ci_lo,ci_hi,p_bootstrap,n,n_target_lines
intercept,0.7935275752332139,0.790337275218277,0.7969793573245858,0.0005,185,47
similarity (z),0.01398412047266475,0.012362106365514679,0.015611976639817308,0.0005,185,47
log10 depth (z),0.03569235946869844,0.030315461015535554,0.040144954694725565,0.0005,185,47
