dataset,chi2,p,kendall_W,n_references,n_target_lines,median_accuracy_spread
Tahoe,113.54214123006831,1.8964070887308495e-24,0.8601677365914266,4,44,0.02827754130293636
LINCS,61.56363636363664,4.2817984507073104e-14,0.17196546470289564,3,179,0.0198814814814815
