figure,analysis,group,term,estimate,ci_lo,ci_hi,p,p_adj,n,ci_level,seed
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-570M + dose (gate) · test_cosine_sim,0.115524012006003,0.11366524512256129,0.11747831415707854,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-84M · test_cosine_sim,0.11486343171585794,0.11301236243121561,0.11682271760880439,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-84M + dose (gate) · test_cosine_sim,0.11486343171585794,0.11301236243121561,0.11682271760880439,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,average_ref · test_cosine_sim,0.17805799841880798,0.17563321660830414,0.1803578539269635,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,bert-base-smiles · test_cosine_sim,0.11231865932966484,0.1104828664332166,0.11411557653826913,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,bert-base-smiles + dose (gate) · test_cosine_sim,0.11231865932966484,0.1104828664332166,0.11411557653826913,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,cell-line holdout · test_cosine_sim,0.1300790011882782,0.12816782164549972,0.13184221424627274,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,default · test_cosine_sim,0.15158054027013507,0.14926176213106554,0.1540305652826413,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,delta_ref_only · test_cosine_sim,0.102292999625206,0.10002441220610306,0.10442990870435216,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 · test_cosine_sim,0.10916908454227116,0.1075516695847924,0.11090988619309655,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (concat) · test_cosine_sim,0.09927599877119064,0.09784898048715357,0.1007676340435272,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (gate) · test_cosine_sim,0.10916908454227116,0.1075516695847924,0.11090988619309655,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (onehot) · test_cosine_sim,0.09275399893522263,0.09120832300150686,0.09434283861369143,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.0 · test_cosine_sim,0.1353210061788559,0.13300741620810405,0.13756182466233116,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.1 · test_cosine_sim,0.12330000102519989,0.12085556528264133,0.12553129689844922,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.2 · test_cosine_sim,0.11088600009679794,0.10863440470235118,0.11310989869934968,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.3 · test_cosine_sim,0.10229700058698654,0.1000385067533767,0.10454202101050525,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.4 · test_cosine_sim,0.09176599979400635,0.08934509754877439,0.09413337293646823,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.5 · test_cosine_sim,0.08357399702072144,0.0815903951975988,0.08575188219109556,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,resample_ref · test_cosine_sim,0.1558700054883957,0.15368631815907954,0.15816053651825912,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon · test_l2,14.92729539769885,14.867194172086043,14.984325131315657,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (concat) · test_l2,14.844099998474121,14.791623195109391,14.89353163446316,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (gate) · test_l2,14.92729539769885,14.867194172086043,14.984325131315657,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (onehot) · test_l2,14.918573379516602,14.865795630114256,14.968029436168386,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-100M-MLM · test_l2,14.996870685342671,14.935897905202603,15.055983748124062,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-100M-MLM + dose (gate) · test_l2,14.996870685342671,14.935897905202603,15.055983748124062,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MLM · test_l2,15.009412206103052,14.948694709854927,15.067799624812405,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MLM + dose (gate) · test_l2,15.009412206103052,14.948694709854927,15.067799624812405,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MTR · test_l2,15.084234867433716,15.016450468984493,15.149171029264632,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MTR + dose (gate) · test_l2,15.084234867433716,15.016450468984493,15.149171029264632,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-77M-MLM · test_l2,14.964765382691345,14.903197836418208,15.02290476488244,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-77M-MLM + dose (gate) · test_l2,14.964765382691345,14.903197836418208,15.02290476488244,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MCF7 · test_l2,14.816253662109375,14.76011316080564,14.870356996358945,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MoLFormer-XL · test_l2,15.039126813406705,14.979339769884943,15.09562240495248,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MoLFormer-XL + dose (gate) · test_l2,15.039126813406705,14.979339769884943,15.09562240495248,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MolGen-large · test_l2,15.022397198599299,14.961673986993496,15.081170191345675,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,MolGen-large + dose (gate) · test_l2,15.022397198599299,14.961673986993496,15.081170191345675,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 · test_l2,14.948278139069535,14.888475306403203,15.006458285392698,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 + dose (concat) · test_l2,14.853754043579102,14.799909064031892,14.90350412478303,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 + dose (gate) · test_l2,14.948278139069535,14.888475306403203,15.006458285392698,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_1024 + dose (onehot) · test_l2,14.863956451416016,14.809735060178918,14.915483357811812,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_2048 · test_l2,14.939778889444723,14.88047241745873,14.997525075037519,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_2048 + dose (gate) · test_l2,14.939778889444723,14.88047241745873,14.997525075037519,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_512 · test_l2,15.020086043021509,14.960031597048523,15.076473092796396,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,Morgan_512 + dose (gate) · test_l2,15.020086043021509,14.960031597048523,15.076473092796396,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,PC3 · test_l2,14.952486038208008,14.900408954930816,15.008056163228533,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv1-84M · test_l2,15.014518009004501,14.954123330415209,15.07287934592296,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv1-84M + dose (gate) · test_l2,15.014518009004501,14.954123330415209,15.07287934592296,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B · test_l2,14.963605802901453,14.9036088981991,15.022469290895447,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B + dose (concat) · test_l2,15.053604125976562,15.001006804699868,15.103914109142236,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B + dose (gate) · test_l2,14.963605802901453,14.9036088981991,15.022469290895447,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-1.1B + dose (onehot) · test_l2,15.058762550354004,15.006070788906479,15.108738417227764,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-164M · test_l2,14.972999749874939,14.91137026638319,15.031350243871938,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-164M + dose (gate) · test_l2,14.972999749874939,14.91137026638319,15.031350243871938,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-310M · test_l2,14.920224612306155,14.85970438344172,14.978650087543773,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-310M + dose (gate) · test_l2,14.920224612306155,14.85970438344172,14.978650087543773,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-570M · test_l2,15.07309104552276,15.013521079289646,15.130426269384694,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-570M + dose (gate) · test_l2,15.07309104552276,15.013521079289646,15.130426269384694,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-84M · test_l2,15.017543271635816,14.957819065782891,15.075945291395698,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,UniMolv2-84M + dose (gate) · test_l2,15.017543271635816,14.957819065782891,15.075945291395698,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,average_ref · test_l2,14.553220748901367,14.495780377688844,14.610778482991494,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,bert-base-smiles · test_l2,15.047413456728366,14.986362893946973,15.106165839169584,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,bert-base-smiles + dose (gate) · test_l2,15.047413456728366,14.986362893946973,15.106165839169584,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,cell-line holdout · test_l2,14.942145347595215,14.895119956745813,14.997195849438619,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,default · test_l2,14.648696098049024,14.591597304902454,14.703042152326164,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,delta_ref_only · test_l2,14.902677536010742,14.843167452476237,14.965061530765382,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 · test_l2,14.980252626313156,14.91633688094047,15.04044968734367,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (concat) · test_l2,14.922905921936035,14.868998564670875,14.973944766055657,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (gate) · test_l2,14.980252626313156,14.91633688094047,15.04044968734367,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,random_512 + dose (onehot) · test_l2,14.958642959594727,14.906011544623954,15.009585490300799,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.0 · test_l2,14.739768028259277,14.681073355427714,14.799325406453226,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.1 · test_l2,15.086919784545898,15.028813694347173,15.14476086168084,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.2 · test_l2,15.730912208557129,15.674941433216608,15.78931086168084,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.3 · test_l2,16.261568069458008,16.208404671085546,16.31716926588294,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.4 · test_l2,17.957311630249023,17.900096010505255,18.01681783391696,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,repro_0.5 · test_l2,20.179481506347656,20.123215232616307,20.243193234117054,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,resample_ref · test_l2,14.595251083374023,14.537795772886442,14.651680058779393,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon · test_pearson,0.1233526763381691,0.12155470860430213,0.12534263381690847,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (concat) · test_pearson,0.1217930018901825,0.12008538539302269,0.12348422568523852,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (gate) · test_pearson,0.1233526763381691,0.12155470860430213,0.12534263381690847,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,CheMeleon + dose (onehot) · test_pearson,0.11558700352907181,0.11375182158048333,0.11741512960878936,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-100M-MLM · test_pearson,0.11326538269134569,0.11143869434717361,0.115205383941971,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-100M-MLM + dose (gate) · test_pearson,0.11326538269134569,0.11143869434717361,0.115205383941971,,,,95.0,0
fig3/figS,bootstrap CI of mean test metric,LINCS,ChemBERTa-5M-MLM · test_pearson,0.11442646323161582,0.1127534704852426,0.1162127376188094,,,,95.0,0
