estimate,dose_minus_cellline,ci_low,ci_high
systematic_cosine,0.033523271327603965,0.017843746098053462,0.04917618100028489
pearson_systema,-0.007119772549168482,-0.011781268064827495,-0.0025069931359497813
pearson_topk_systema,-0.006868655477472161,-0.00878076178122371,-0.004955649617869274
centroid_accuracy,-0.006264557802183643,-0.008459901628207662,-0.004338834327453831
