panel,dataset,relation,rho,ci_lo,ci_hi,p,n
b,Tahoe,test Pearson vs reference–target Δ-profile similarity,0.7886060112416411,0.7151769918085323,0.8427208536395312,3.8532488579586165e-41,188
c,Tahoe,test Pearson vs mean sequencing depth (UMIs),0.941836262719704,0.8697096027907572,0.9736809541401967,6.126850912922692e-23,47
