dataset,quadrant,estimate,lo,hi,model_macro,baseline_macro,n_cell_lines,n_obs,wins
Tahoe,Q2,0.2948510389641621,0.28023907792301495,0.31022263670124933,0.8105944415347055,0.5157434025705434,35,5834,35
Tahoe,Q3,0.07787299116116882,0.06091346218114117,0.09473746607533971,0.5250231415989772,0.4471501504378084,7,5678,7
Tahoe,Q4,0.04198917555545456,0.024365155413668717,0.05758427645791634,0.4916565905806937,0.44966741502523916,7,1104,7
LINCS,Q2,0.11453149854227096,0.09629782989005634,0.13223181905981968,0.2181197185244978,0.1035882199822268,167,34641,148
LINCS,Q3,0.053828185180631746,0.036895540488330734,0.070241777551578,0.18635564611503413,0.13252746093440243,20,12759,18
LINCS,Q4,0.041567616308088626,0.024317767407061965,0.058738836930055015,0.1785057311835065,0.13693811487541788,20,2063,17
