group,label,marker,estimate,lo,hi,n_conditions,n_compounds
Pearson r,Standard BioPert,o,0.7907273919217201,0.7727328472705964,0.8056226715092525,7767,56
Pearson r,Cell-line centroid,o,0.7334689107344986,0.7148111133480904,0.7516533787861179,7767,56
Pearson r,Cell-line + dose,o,0.7263491381853301,0.7084387437131576,0.7432626897842276,7767,56
Systema centroid accuracy,Perturbed mean,s,0.5,0.44529639679641453,0.5537271052832876,7767,56
Systema centroid accuracy,BioPert,o,0.9612356242047294,0.9470929643185936,0.973122985466654,7767,56
