arm,val_spearman,test_pearson,ci_lo,ci_hi
Average of replicates,0.205626,0.17787468734367182,0.16675485104773852,0.19740386100142537
Single draw (default),0.175163,0.15147273636818406,0.14077823252721017,0.17122508433184194
Resample each epoch,0.182099,0.1556703351675838,0.14490767976950736,0.17610994080993794
