predictor,adjustment,controlling_for,rho,ci_lo,ci_hi,p,n
similarity,marginal,,0.787538622858566,0.7116245934166481,0.8443833372652017,2.5113945601942206e-40,185
similarity,partial,depth,0.6499356487899549,0.551739677175349,0.7273170711464222,1.829037244628302e-23,185
depth,marginal,,0.8716133283098315,0.8208463111798504,0.9096129373031597,1.4669263998544981e-58,185
depth,partial,similarity,0.7965930326917235,0.7239609695499122,0.8490020826045517,1.2160071726532517e-41,185
