collection,comparison,spearman_rho,mae,n_pathways
all,BioPert prediction,0.8753856415370749,0.3518649952764069,1227
all,A549 reference,0.3749778079464837,0.8367228213870884,1227
hallmark,BioPert prediction,0.8998319327731091,0.3169004652290273,50
hallmark,A549 reference,0.5181752701080432,0.8765793984438729,50
reactome,BioPert prediction,0.8738368170032575,0.3533503194075615,1177
reactome,A549 reference,0.36758564628038587,0.8350296787763499,1177
