dataset,category,label,exp_key,metric,estimate,ci_lo,ci_hi
LINCS,dose_encoding,UniMolv2-84M + dose (gate),lincs_unimolv2_84m_dose_gate,test_cosine_sim,0.11486343171585794,0.11301236243121561,0.11682271760880439
LINCS,ref_handling,average_ref,lincs_average_ref,test_cosine_sim,0.17805799841880798,0.17563321660830414,0.1803578539269635
LINCS,embedding,bert-base-smiles,lincs_bert-base-smiles_dose_gate,test_cosine_sim,0.11231865932966484,0.1104828664332166,0.11411557653826913
LINCS,dose_encoding,bert-base-smiles + dose (gate),lincs_bert-base-smiles_dose_gate,test_cosine_sim,0.11231865932966484,0.1104828664332166,0.11411557653826913
LINCS,holdout,cell-line holdout,lincs_cellline_holdout,test_cosine_sim,0.1300790011882782,0.12816782164549972,0.13184221424627274
LINCS,ablation,default,lincs_default_config,test_cosine_sim,0.15158054027013507,0.14926176213106554,0.1540305652826413
LINCS,ablation,delta_ref_only,lincs_delta_ref_only,test_cosine_sim,0.102292999625206,0.10002441220610306,0.10442990870435216
LINCS,ablation,random_512,lincs_random_512_dose_gate,test_cosine_sim,0.10916908454227116,0.1075516695847924,0.11090988619309655
LINCS,dose_encoding,random_512 + dose (concat),lincs_random_512_dose_concat,test_cosine_sim,0.09927599877119064,0.09784898048715357,0.1007676340435272
LINCS,dose_encoding,random_512 + dose (gate),lincs_random_512_dose_gate,test_cosine_sim,0.10916908454227116,0.1075516695847924,0.11090988619309655
LINCS,dose_encoding,random_512 + dose (onehot),lincs_random_512_dose_onehot,test_cosine_sim,0.09275399893522263,0.09120832300150686,0.09434283861369143
LINCS,repro,repro_0.0,lincs_default_repro_0,test_cosine_sim,0.1353210061788559,0.13300741620810405,0.13756182466233116
LINCS,repro,repro_0.1,lincs_default_repro_0.1,test_cosine_sim,0.12330000102519989,0.12085556528264133,0.12553129689844922
LINCS,repro,repro_0.2,lincs_default_repro_0.2,test_cosine_sim,0.11088600009679794,0.10863440470235118,0.11310989869934968
LINCS,repro,repro_0.3,lincs_default_repro_0.3,test_cosine_sim,0.10229700058698654,0.1000385067533767,0.10454202101050525
LINCS,repro,repro_0.4,lincs_default_repro_0.4,test_cosine_sim,0.09176599979400635,0.08934509754877439,0.09413337293646823
LINCS,repro,repro_0.5,lincs_default_repro_0.5,test_cosine_sim,0.08357399702072144,0.0815903951975988,0.08575188219109556
LINCS,ref_handling,resample_ref,lincs_resample_ref,test_cosine_sim,0.1558700054883957,0.15368631815907954,0.15816053651825912
LINCS,embedding,CheMeleon,lincs_CheMeleon_dose_gate,test_l2,14.92729539769885,14.867194172086043,14.984325131315657
LINCS,dose_encoding,CheMeleon + dose (concat),lincs_CheMeleon_dose_concat,test_l2,14.844099998474121,14.791623195109391,14.89353163446316
LINCS,dose_encoding,CheMeleon + dose (gate),lincs_CheMeleon_dose_gate,test_l2,14.92729539769885,14.867194172086043,14.984325131315657
LINCS,dose_encoding,CheMeleon + dose (onehot),lincs_CheMeleon_dose_onehot,test_l2,14.918573379516602,14.865795630114256,14.968029436168386
LINCS,embedding,ChemBERTa-100M-MLM,lincs_ChemBERTa-100M-MLM_dose_gate,test_l2,14.996870685342671,14.935897905202603,15.055983748124062
LINCS,dose_encoding,ChemBERTa-100M-MLM + dose (gate),lincs_ChemBERTa-100M-MLM_dose_gate,test_l2,14.996870685342671,14.935897905202603,15.055983748124062
LINCS,embedding,ChemBERTa-5M-MLM,lincs_ChemBERTa-5M-MLM_dose_gate,test_l2,15.009412206103052,14.948694709854927,15.067799624812405
LINCS,dose_encoding,ChemBERTa-5M-MLM + dose (gate),lincs_ChemBERTa-5M-MLM_dose_gate,test_l2,15.009412206103052,14.948694709854927,15.067799624812405
LINCS,embedding,ChemBERTa-5M-MTR,lincs_ChemBERTa-5M-MTR_dose_gate,test_l2,15.084234867433716,15.016450468984493,15.149171029264632
LINCS,dose_encoding,ChemBERTa-5M-MTR + dose (gate),lincs_ChemBERTa-5M-MTR_dose_gate,test_l2,15.084234867433716,15.016450468984493,15.149171029264632
LINCS,embedding,ChemBERTa-77M-MLM,lincs_ChemBERTa-77M-MLM_dose_gate,test_l2,14.964765382691345,14.903197836418208,15.02290476488244
LINCS,dose_encoding,ChemBERTa-77M-MLM + dose (gate),lincs_ChemBERTa-77M-MLM_dose_gate,test_l2,14.964765382691345,14.903197836418208,15.02290476488244
LINCS,ref_cell,MCF7,lincs_MCF7,test_l2,14.816253662109375,14.76011316080564,14.870356996358945
LINCS,embedding,MoLFormer-XL,lincs_MoLFormer-XL-both-10pct_dose_gate,test_l2,15.039126813406705,14.979339769884943,15.09562240495248
LINCS,dose_encoding,MoLFormer-XL + dose (gate),lincs_MoLFormer-XL-both-10pct_dose_gate,test_l2,15.039126813406705,14.979339769884943,15.09562240495248
LINCS,embedding,MolGen-large,lincs_MolGen-large_dose_gate,test_l2,15.022397198599299,14.961673986993496,15.081170191345675
LINCS,dose_encoding,MolGen-large + dose (gate),lincs_MolGen-large_dose_gate,test_l2,15.022397198599299,14.961673986993496,15.081170191345675
LINCS,embedding,Morgan_1024,lincs_Morgan_1024_dose_gate,test_l2,14.948278139069535,14.888475306403203,15.006458285392698
LINCS,dose_encoding,Morgan_1024 + dose (concat),lincs_Morgan_1024_dose_concat,test_l2,14.853754043579102,14.799909064031892,14.90350412478303
LINCS,dose_encoding,Morgan_1024 + dose (gate),lincs_Morgan_1024_dose_gate,test_l2,14.948278139069535,14.888475306403203,15.006458285392698
LINCS,dose_encoding,Morgan_1024 + dose (onehot),lincs_Morgan_1024_dose_onehot,test_l2,14.863956451416016,14.809735060178918,14.915483357811812
LINCS,embedding,Morgan_2048,lincs_Morgan_2048_dose_gate,test_l2,14.939778889444723,14.88047241745873,14.997525075037519
LINCS,dose_encoding,Morgan_2048 + dose (gate),lincs_Morgan_2048_dose_gate,test_l2,14.939778889444723,14.88047241745873,14.997525075037519
LINCS,embedding,Morgan_512,lincs_Morgan_512_dose_gate,test_l2,15.020086043021509,14.960031597048523,15.076473092796396
LINCS,dose_encoding,Morgan_512 + dose (gate),lincs_Morgan_512_dose_gate,test_l2,15.020086043021509,14.960031597048523,15.076473092796396
LINCS,ref_cell,PC3,lincs_PC3,test_l2,14.952486038208008,14.900408954930816,15.008056163228533
LINCS,embedding,UniMolv1-84M,lincs_unimolv1_84m_dose_gate,test_l2,15.014518009004501,14.954123330415209,15.07287934592296
LINCS,dose_encoding,UniMolv1-84M + dose (gate),lincs_unimolv1_84m_dose_gate,test_l2,15.014518009004501,14.954123330415209,15.07287934592296
LINCS,embedding,UniMolv2-1.1B,lincs_unimolv2_1.1B_dose_gate,test_l2,14.963605802901453,14.9036088981991,15.022469290895447
