collection,pathway,target_nes,target_fdr_q,prediction_nes,prediction_fdr_q,reference_nes,reference_fdr_q,target_fdr_class
reactome,Smooth Muscle Contraction R-HSA-445355,-1.0419290489601376,0.6421977234635008,-1.0369420947226649,0.7805699971001941,-0.976112765117644,0.7345057763287786,q > 0.25
reactome,Tight Junction Interactions R-HSA-420029,1.0418887228713551,1.0,0.880507252572298,1.0,1.0283831368442335,0.8343946485405862,q > 0.25
reactome,O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,-1.0410576874152988,0.6433290363717471,-0.9901048809367388,0.8260625005905804,-1.0404311963637072,0.7034707207876647,q > 0.25
reactome,G1/S DNA Damage Checkpoints R-HSA-69615,-1.040923317804278,0.6424398926255359,-0.8005506509054462,0.9245905289151688,-0.8191909972990313,0.9018750207876784,q > 0.25
reactome,ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,-1.040279102089378,0.6428579159948165,-0.8844078363952517,0.8792172053747964,-0.8483000422607829,0.8709156644768684,q > 0.25
reactome,Defective B3GALTL Causes PpS R-HSA-5083635,-1.0398649049332729,0.6426603506373231,-0.9487374673166206,0.8565650306679673,-1.0553050003005258,0.6810409469367121,q > 0.25
reactome,Signaling By EGFR In Cancer R-HSA-1643713,-1.039690124466777,0.6418458434019333,-0.8605667689544783,0.8846278521209675,-0.8369592323059957,0.8837942572971533,q > 0.25
reactome,Metabolism Of Amino Acids And Derivatives R-HSA-71291,1.0384383260628771,1.0,1.16930789950588,1.0,-0.9586080417267552,0.7552379881060101,q > 0.25
reactome,Centrosome Maturation R-HSA-380287,-1.037444212649017,0.6463609584082454,-0.8205347126188955,0.9194066396961594,-1.304328993213714,0.4596398294415174,q > 0.25
reactome,G Beta:Gamma Signaling Thru BTK R-HSA-8964315,-1.0373430748992307,0.6453831330151963,-0.9113854039852866,0.8801601640614057,-1.3134655260011516,0.4569311206970312,q > 0.25
reactome,Glutamate Neurotransmitter Release Cycle R-HSA-210500,-1.0349515752106675,0.6502744328177157,-0.878045594077307,0.8758689824915032,-1.0356417178372577,0.6982905846994876,q > 0.25
reactome,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,-1.0348292139996027,0.6493375441530423,-0.8630908436141231,0.8830102858845071,-1.520869492917474,0.2203772433939203,q > 0.25
reactome,Signaling By NOTCH3 R-HSA-9012852,-1.034424316511743,0.6491548143822147,-0.8968139270415679,0.8791974888148821,1.0600279473538878,0.7989884241643089,q > 0.25
reactome,Processing Of DNA Double-Strand Break Ends R-HSA-5693607,-1.0344169357431003,0.6479254525607542,-1.063931841091468,0.7477803098284479,-0.8203942270385759,0.9008580287717326,q > 0.25
reactome,ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,-1.0341383706446694,0.6474067294040335,-0.942430959352204,0.8658104995458674,-0.7058836238327416,0.9769833492805984,q > 0.25
reactome,YAP1- And WWTR1 (TAZ)-stimulated Gene Expression R-HSA-2032785,-1.0334616188387242,0.6478943535372094,-0.906837544128166,0.8779021754975104,-1.0202292740292709,0.7143950345968559,q > 0.25
reactome,Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,-1.0313853869491896,0.651964806223683,-1.064755088163319,0.7472507724539014,0.9396242901740972,0.8755241370348517,q > 0.25
reactome,AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,-1.0312190494150508,0.6511319141229815,-0.7040329983413789,0.9666554532172642,-0.9075846129840256,0.8068921626852982,q > 0.25
reactome,Cargo Concentration In ER R-HSA-5694530,-1.0308494474567664,0.6508515439097077,-1.0030229884117032,0.8137815700601694,-1.7843094364838252,0.0420774128236337,q > 0.25
reactome,Polymerase Switching On C-strand Of Telomere R-HSA-174411,-1.0307700752288145,0.6498370497685131,0.8032580280770117,1.0,0.5678834396292929,0.9965817868572552,q > 0.25
reactome,Regulation Of PTEN Stability And Activity R-HSA-8948751,-1.030727676368138,0.6487272442233428,-0.906634861663666,0.8768510242483271,-0.817321557531323,0.9029360648157192,q > 0.25
reactome,Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,1.0297169210664487,1.0,0.9261897675204306,1.0,0.9310735136701668,0.881162736822674,q > 0.25
reactome,RAC1 GTPase Cycle R-HSA-9013149,-1.0292476949299494,0.651274038435636,-1.0983270452936704,0.6956736202543925,-1.348633154197692,0.4245658908549525,q > 0.25
reactome,Notch-HLH Transcription Pathway R-HSA-350054,-1.0291298999204292,0.6503323145517305,-1.060979293454211,0.7506986111595862,-1.0556333313799562,0.6816713962359153,q > 0.25
reactome,Regulation Of RUNX1 Expression And Activity R-HSA-8934593,1.028943450084951,1.0,0.9789158892050204,1.0,-1.297160493260071,0.4677420278759687,q > 0.25
reactome,Dual Incision In TC-NER R-HSA-6782135,-1.0283322287457757,0.6511092545920677,-0.9556271593721564,0.8491232883171285,-1.1732966597607746,0.5962531363235076,q > 0.25
reactome,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",-1.028226050780165,0.650148513297122,-1.0505091608340873,0.7626764672532227,-1.25980504421274,0.5083922016859279,q > 0.25
reactome,G Alpha (S) Signaling Events R-HSA-418555,-1.0280439944029862,0.6493835950647586,-0.8812898436435048,0.8780628752459708,-1.0313291259975643,0.7043691394805272,q > 0.25
reactome,Paracetamol ADME R-HSA-9753281,1.0279382115028537,1.0,1.040219204982165,1.0,1.6472629106631147,0.1046629429064478,q > 0.25
reactome,DARPP-32 Events R-HSA-180024,1.0278633712833682,1.0,1.109352648838743,1.0,-0.8853524973201035,0.8243078931955264,q > 0.25
reactome,Hedgehog On State R-HSA-5632684,-1.0278274659348383,0.6487111126960732,-0.7876587259436573,0.9254573245211386,-1.286335458310391,0.4767110530000652,q > 0.25
reactome,Synthesis Of PC R-HSA-1483191,1.0273616952436242,1.0,0.8723261993632022,1.0,0.8456742913505951,0.9582511450497678,q > 0.25
reactome,Hedgehog Ligand Biogenesis R-HSA-5358346,-1.0249486749677408,0.6548221648856718,-1.0043445541899914,0.815457619163044,-1.168865598952176,0.5972003187081707,q > 0.25
reactome,GPER1 Signaling R-HSA-9634597,-1.024746997016864,0.6541325270463358,-0.8835931578421522,0.8767649842167327,-1.4253316411387575,0.3091823065428674,q > 0.25
reactome,NCAM Signaling For Neurite Out-Growth R-HSA-375165,-1.0236468467407067,0.6556799757567462,-1.1087243065607928,0.6926864803041006,0.8640709684405289,0.9373420376614616,q > 0.25
reactome,DNA Double Strand Break Response R-HSA-5693606,-1.0232629264223023,0.6554452698185278,-1.0374186390900455,0.7810828181118226,0.9599630606712088,0.8617437749295345,q > 0.25
reactome,Insulin Receptor Signaling Cascade R-HSA-74751,1.022920376995965,1.0,-0.8003810708181934,0.9235552180837862,-1.1183799883332488,0.6079708548810816,q > 0.25
reactome,G Alpha (Q) Signaling Events R-HSA-416476,-1.0219806661692934,0.6574533943878423,-0.9352338281660232,0.8706450322030016,-0.9115538768114622,0.8046906610550969,q > 0.25
reactome,p53-Dependent G1 DNA Damage Response R-HSA-69563,-1.021862113867904,0.6565281591996958,-0.8146628928894876,0.9198567571869184,-0.8204473064160404,0.9020497836124104,q > 0.25
reactome,Other Semaphorin Interactions R-HSA-416700,1.0195822997307349,1.0,1.066594177528233,1.0,-0.7821036575052535,0.942043758612192,q > 0.25
reactome,AURKA Activation By TPX2 R-HSA-8854518,-1.0194528395305469,0.6615849074058381,0.8252442806167528,1.0,-1.1627044610188144,0.6036326549803785,q > 0.25
reactome,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,1.0186225427775628,1.0,1.1346065674069177,1.0,0.9458411991965614,0.8667377993977499,q > 0.25
reactome,RA Biosynthesis Pathway R-HSA-5365859,-1.0183011977320997,0.6632807615392422,-0.8996303094564868,0.8827258905715211,1.663026786967626,0.1050996014134105,q > 0.25
reactome,Pre-NOTCH Transcription And Translation R-HSA-1912408,1.0171027937305914,1.0,-0.9407633092999528,0.8619479034794184,-1.30259032005543,0.4594414772343711,q > 0.25
reactome,SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,-1.016994402858331,0.66547954472311,-0.8994959050813498,0.8815254486048426,-0.934511605817017,0.7745632873512222,q > 0.25
reactome,Listeria Monocytogenes Entry Into Host Cells R-HSA-8876384,-1.015173015015976,0.6689395514376623,-0.8629320869257385,0.8819484337973148,-1.3291690677870651,0.4443073606702811,q > 0.25
reactome,Opioid Signaling R-HSA-111885,-1.0149117901089275,0.6683932263202689,-0.9098820145919648,0.8793515933948874,0.9396064851457188,0.872049828144674,q > 0.25
reactome,RNA Polymerase I Promoter Clearance R-HSA-73854,1.0145865408949195,1.0,1.1134626467747977,1.0,-1.0473070176458503,0.6963669467977779,q > 0.25
reactome,Muscle Contraction R-HSA-397014,1.014470082571177,1.0,1.0488443513080334,0.9969395161968664,1.0576686680401086,0.7883774748680706,q > 0.25
reactome,Fatty Acid Metabolism R-HSA-8978868,1.014242355830715,1.0,1.0129659151543555,1.0,1.542896716655165,0.1886524472755936,q > 0.25
reactome,Olfactory Signaling Pathway R-HSA-381753,1.01423511212842,1.0,-1.151051968158994,0.6650791543445829,-0.9944835704446128,0.7225031117350268,q > 0.25
reactome,"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841",1.0134687847207362,1.0,0.99025702078027,1.0,1.0363474360083942,0.8297083579307116,q > 0.25
reactome,Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,-1.0134005258586258,0.6709634006052222,-1.0127870114254276,0.8093009190652481,-0.9624398845898084,0.750378223891249,q > 0.25
reactome,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,-1.0131052698937602,0.6705162543546939,0.6265394256663056,0.9991467784193584,-1.0284750272727747,0.7079150063448506,q > 0.25
reactome,Formation Of Incision Complex In GG-NER R-HSA-5696395,-1.0127744535533096,0.6701089573395806,-1.1281592618255822,0.6733551686910371,-1.089914193778614,0.653388025691426,q > 0.25
