lincs_position,gene_id,gene_symbol,ensembl_id
168,2597,GAPDH,ENSG00000111640
169,2624,GATA2,ENSG00000179348
170,2625,GATA3,ENSG00000107485
171,2673,GFPT1,ENSG00000198380
172,2690,GHR,ENSG00000112964
173,2736,GLI2,ENSG00000074047
174,2745,GLRX,ENSG00000173221
175,2767,GNA11,ENSG00000088256
176,2769,GNA15,ENSG00000060558
177,2770,GNAI1,ENSG00000127955
178,2771,GNAI2,ENSG00000114353
179,2778,GNAS,ENSG00000087460
180,2810,SFN,ENSG00000175793
181,2817,GPC1,ENSG00000063660
182,2852,GPER1,ENSG00000164850
183,2886,GRB7,ENSG00000141738
184,2887,GRB10,ENSG00000106070
185,2896,GRN,ENSG00000030582
186,2908,NR3C1,ENSG00000113580
187,2920,CXCL2,ENSG00000081041
188,2946,GSTM2,ENSG00000213366
189,2954,GSTZ1,ENSG00000100577
190,2956,MSH6,ENSG00000116062
191,2958,GTF2A2,ENSG00000140307
192,2961,GTF2E2,ENSG00000197265
193,3028,HSD17B10,ENSG00000072506
194,3033,HADH,ENSG00000138796
195,3066,HDAC2,ENSG00000196591
196,3091,HIF1A,ENSG00000100644
197,3098,HK1,ENSG00000156515
198,3108,HLA-DMA,ENSG00000204257
199,3122,HLA-DRA,ENSG00000204287
200,3156,HMGCR,ENSG00000113161
201,3157,HMGCS1,ENSG00000112972
202,3162,HMOX1,ENSG00000100292
203,3202,HOXA5,ENSG00000106004
204,3206,HOXA10,ENSG00000253293
205,3251,HPRT1,ENSG00000165704
206,3280,HES1,ENSG00000114315
207,3300,DNAJB2,ENSG00000135924
208,3303,HSPA1A,ENSG00000204389
209,3308,HSPA4,ENSG00000170606
210,3312,HSPA8,ENSG00000109971
211,3315,HSPB1,ENSG00000106211
212,3329,HSPD1,ENSG00000144381
213,3337,DNAJB1,ENSG00000132002
214,3383,ICAM1,ENSG00000090339
215,3385,ICAM3,ENSG00000076662
216,3398,ID2,ENSG00000115738
217,3416,IDE,ENSG00000119912
218,3454,IFNAR1,ENSG00000142166
219,3480,IGF1R,ENSG00000140443
220,3482,IGF2R,ENSG00000197081
221,3486,IGFBP3,ENSG00000146674
222,3508,IGHMBP2,ENSG00000132740
223,3551,IKBKB,ENSG00000104365
224,3553,IL1B,ENSG00000125538
225,3566,IL4R,ENSG00000077238
226,3597,IL13RA1,ENSG00000131724
227,3611,ILK,ENSG00000166333
228,3628,INPP1,ENSG00000151689
229,3638,INSIG1,ENSG00000186480
230,3682,ITGAE,ENSG00000083457
231,3693,ITGB5,ENSG00000082781
232,3725,JUN,ENSG00000177606
233,3775,KCNK1,ENSG00000135750
234,3800,KIF5C,ENSG00000168280
235,3815,KIT,ENSG00000157404
236,3895,KTN1,ENSG00000126777
237,3909,LAMA3,ENSG00000053747
238,3925,STMN1,ENSG00000117632
239,3930,LBR,ENSG00000143815
240,3964,LGALS8,ENSG00000116977
241,3978,LIG1,ENSG00000105486
242,3988,LIPA,ENSG00000107798
243,4016,LOXL1,ENSG00000129038
244,4043,LRPAP1,ENSG00000163956
245,4067,LYN,ENSG00000254087
246,4088,SMAD3,ENSG00000166949
247,4125,MAN2B1,ENSG00000104774
248,4144,MAT2A,ENSG00000168906
249,4154,MBNL1,ENSG00000152601
250,4172,MCM3,ENSG00000112118
251,4200,ME2,ENSG00000082212
252,4208,MEF2C,ENSG00000081189
253,4216,MAP3K4,ENSG00000085511
254,4232,MEST,ENSG00000106484
255,4282,MIF,ENSG00000240972
256,4303,FOXO4,ENSG00000184481
257,4312,MMP1,ENSG00000196611
258,4313,MMP2,ENSG00000087245
259,4331,MNAT1,ENSG00000020426
260,4482,MSRA,ENSG00000175806
261,4582,MUC1,ENSG00000185499
262,4605,MYBL2,ENSG00000101057
263,4609,MYC,ENSG00000136997
264,4616,GADD45B,ENSG00000099860
265,4638,MYLK,ENSG00000065534
266,4651,MYO10,ENSG00000145555
267,4690,NCK1,ENSG00000158092
268,4775,NFATC3,ENSG00000072736
269,4776,NFATC4,ENSG00000100968
270,4780,NFE2L2,ENSG00000116044
271,4783,NFIL3,ENSG00000165030
272,4791,NFKB2,ENSG00000077150
273,4792,NFKBIA,ENSG00000100906
274,4793,NFKBIB,ENSG00000104825
275,4794,NFKBIE,ENSG00000146232
276,4817,NIT1,ENSG00000158793
277,4836,NMT1,ENSG00000136448
278,4846,NOS3,ENSG00000164867
279,4850,CNOT4,ENSG00000080802
280,4851,NOTCH1,ENSG00000148400
281,4860,PNP,ENSG00000198805
282,4864,NPC1,ENSG00000141458
283,4891,SLC11A2,ENSG00000110911
284,4893,NRAS,ENSG00000213281
285,4925,NUCB2,ENSG00000070081
286,4927,NUP88,ENSG00000108559
287,4931,NVL,ENSG00000143748
288,4998,ORC1,ENSG00000085840
289,5018,OXA1L,ENSG00000155463
290,5019,OXCT1,ENSG00000083720
291,5048,PAFAH1B1,ENSG00000007168
292,5050,PAFAH1B3,ENSG00000079462
293,5054,SERPINE1,ENSG00000106366
294,5058,PAK1,ENSG00000149269
295,5092,PCBD1,ENSG00000166228
296,5096,PCCB,ENSG00000114054
297,5106,PCK2,ENSG00000100889
298,5108,PCM1,ENSG00000078674
299,5110,PCMT1,ENSG00000120265
300,5111,PCNA,ENSG00000132646
301,5154,PDGFA,ENSG00000197461
302,5211,PFKL,ENSG00000141959
303,5223,PGAM1,ENSG00000171314
304,5236,PGM1,ENSG00000079739
305,5255,PHKA1,ENSG00000067177
306,5257,PHKB,ENSG00000102893
307,5261,PHKG2,ENSG00000156873
308,5287,PIK3C2B,ENSG00000133056
309,5289,PIK3C3,ENSG00000078142
