gene_symbol,ensembl_id,token_id
CDC45,ENSG00000093009,1995
HDAC6,ENSG00000094631,2004
HOOK2,ENSG00000095066,2018
BAMBI,ENSG00000095739,2042
ABL1,ENSG00000097007,2073
CIRBP,ENSG00000099622,2105
GADD45B,ENSG00000099860,2127
CRKL,ENSG00000099942,2140
MICALL1,ENSG00000100139,2202
XBP1,ENSG00000100219,2224
FBXO7,ENSG00000100225,2227
HMOX1,ENSG00000100292,2250
CERK,ENSG00000100422,2307
ABHD4,ENSG00000100439,2313
POLE2,ENSG00000100479,2324
PYGL,ENSG00000100504,2329
CGRRF1,ENSG00000100532,2336
ATP6V1D,ENSG00000100554,2337
TIMM9,ENSG00000100575,2344
GSTZ1,ENSG00000100577,2345
SPTLC2,ENSG00000100596,2352
LGMN,ENSG00000100600,2354
DHRS7,ENSG00000100612,2359
HIF1A,ENSG00000100644,2366
EIF5,ENSG00000100664,2370
PCK2,ENSG00000100889,2402
NFKBIA,ENSG00000100906,2406
PSME2,ENSG00000100911,2408
NFATC4,ENSG00000100968,2416
CD40,ENSG00000101017,2428
MYBL2,ENSG00000101057,2433
RAE1,ENSG00000101146,2449
TPD52L2,ENSG00000101150,2450
TCFL5,ENSG00000101190,2463
CDC25B,ENSG00000101224,2478
TRIB3,ENSG00000101255,2484
MYL9,ENSG00000101335,2503
USP14,ENSG00000101557,2552
RNMT,ENSG00000101654,2562
PSMD10,ENSG00000101843,2577
PGRMC1,ENSG00000101856,2582
SUV39H1,ENSG00000101945,2598
PLP2,ENSG00000102007,2611
SLC25A14,ENSG00000102078,2626
HTATSF1,ENSG00000102241,2652
CORO1A,ENSG00000102879,2716
PHKB,ENSG00000102893,2721
LYRM1,ENSG00000102897,2722
NUP93,ENSG00000102900,2724
ACD,ENSG00000102977,2738
COG4,ENSG00000103051,2755
PLA2G15,ENSG00000103066,2759
AXIN1,ENSG00000103126,2765
CIAO3,ENSG00000103245,2787
METRN,ENSG00000103260,2793
STUB1,ENSG00000103266,2795
DNAJA3,ENSG00000103423,2817
STX4,ENSG00000103496,2829
CCP110,ENSG00000103540,2837
CSK,ENSG00000103653,2847
FAH,ENSG00000103876,2860
HOMER2,ENSG00000103942,2863
GABPB1,ENSG00000104064,2873
TJP1,ENSG00000104067,2874
DECR1,ENSG00000104325,2903
IKBKB,ENSG00000104365,2911
ASAH1,ENSG00000104763,2961
BNIP3L,ENSG00000104765,2962
MAN2B1,ENSG00000104774,2963
ECH1,ENSG00000104823,2971
NFKBIB,ENSG00000104825,2973
RELB,ENSG00000104856,2981
PIH1D1,ENSG00000104872,2986
PLEKHJ1,ENSG00000104886,2993
AKAP8,ENSG00000105127,3036
POP4,ENSG00000105171,3044
FSD1,ENSG00000105255,3066
POLR2I,ENSG00000105258,3067
ETFB,ENSG00000105379,3095
GRWD1,ENSG00000105447,3113
LIG1,ENSG00000105486,3119
LSR,ENSG00000105699,3175
CDK6,ENSG00000105810,3198
DNAJB6,ENSG00000105993,3237
HOXA5,ENSG00000106004,3241
GRB10,ENSG00000106070,3256
FKBP14,ENSG00000106080,3259
STX1A,ENSG00000106089,3261
CASP2,ENSG00000106144,3269
HSPB1,ENSG00000106211,3272
LSM5,ENSG00000106355,3299
SERPINE1,ENSG00000106366,3300
PLOD3,ENSG00000106397,3304
RPA3,ENSG00000106399,3305
EZH2,ENSG00000106462,3314
MEST,ENSG00000106484,3318
BLVRA,ENSG00000106605,3335
RHEB,ENSG00000106615,3339
PRKAG2,ENSG00000106617,3340
BCL7B,ENSG00000106635,3345
YKT6,ENSG00000106636,3346
C5,ENSG00000106804,3367
DNM1,ENSG00000106976,3378
TESK1,ENSG00000107140,3392
NPDC1,ENSG00000107281,3407
SHB,ENSG00000107338,3413
PDLIM1,ENSG00000107438,3419
GATA3,ENSG00000107485,3422
RAB11FIP2,ENSG00000107560,3428
LIPA,ENSG00000107798,3452
XPNPEP1,ENSG00000108039,3487
SMC3,ENSG00000108055,3488
ZMIZ1,ENSG00000108175,3496
CASC3,ENSG00000108349,3514
RAD51C,ENSG00000108384,3520
RNF167,ENSG00000108523,3547
NUP88,ENSG00000108559,3552
BLMH,ENSG00000108578,3555
SMARCD2,ENSG00000108604,3564
CYTH1,ENSG00000108669,3571
CCL2,ENSG00000108691,3576
COL1A1,ENSG00000108821,3593
VAT1,ENSG00000108828,3597
DUSP3,ENSG00000108861,3607
TMEM97,ENSG00000109084,3632
ALDOC,ENSG00000109107,3637
DCUN1D4,ENSG00000109184,3649
CHIC2,ENSG00000109220,3654
INPP4B,ENSG00000109452,3669
WFS1,ENSG00000109501,3675
TRIM2,ENSG00000109654,3687
MFSD10,ENSG00000109736,3697
UGDH,ENSG00000109814,3709
HSPA8,ENSG00000109971,3727
CCND1,ENSG00000110092,3749
CCDC86,ENSG00000110104,3750
TMEM109,ENSG00000110108,3752
BIRC2,ENSG00000110330,3771
PDHX,ENSG00000110435,3780
SLC35F2,ENSG00000110660,3795
PSMD9,ENSG00000110801,3814
SLC11A2,ENSG00000110911,3829
MLEC,ENSG00000110917,3830
CDKN1B,ENSG00000111276,3877
RFC5,ENSG00000111445,3900
TIMELESS,ENSG00000111602,3912
GAPDH,ENSG00000111640,3916
COPS7A,ENSG00000111652,3921
PTPN6,ENSG00000111679,3933
GOLT1B,ENSG00000111711,3940
C2CD5,ENSG00000111731,3948
PPARD,ENSG00000112033,3992
MCM3,ENSG00000112118,4005
ZNF451,ENSG00000112200,4020
ASCC3,ENSG00000112249,4033
GMNN,ENSG00000112312,4049
CCND3,ENSG00000112576,4081
TBP,ENSG00000112592,4084
DUSP22,ENSG00000112679,4094
SENP6,ENSG00000112701,4099
TENT4A,ENSG00000112941,4124
GHR,ENSG00000112964,4125
HMGCS1,ENSG00000112972,4126
KIF20A,ENSG00000112984,4130
NNT,ENSG00000112992,4131
HMGCR,ENSG00000113161,4145
GNPDA1,ENSG00000113552,4195
SKP1,ENSG00000113558,4197
NR3C1,ENSG00000113580,4201
TCERG1,ENSG00000113649,4214
CSNK1A1,ENSG00000113712,4217
SMC4,ENSG00000113810,4232
PCCB,ENSG00000114054,4251
HES1,ENSG00000114315,4272
GNAI2,ENSG00000114353,4277
NPRL2,ENSG00000114388,4282
CBLB,ENSG00000114423,4287
MAPKAPK3,ENSG00000114738,4317
ABCC5,ENSG00000114770,4324
EIF4G1,ENSG00000114867,4340
MRPL19,ENSG00000115364,4417
STAT1,ENSG00000115415,4424
PECR,ENSG00000115425,4428
TXNDC9,ENSG00000115514,4441
ST3GAL5,ENSG00000115525,4445
KDM3A,ENSG00000115548,4450
FHL2,ENSG00000115641,4464
ABCB6,ENSG00000115657,4468
STK25,ENSG00000115694,4474
ID2,ENSG00000115738,4477
CEBPZ,ENSG00000115816,4486
SLC1A4,ENSG00000115902,4499
TRAK2,ENSG00000115993,4513
NFE2L2,ENSG00000116044,4525
MSH6,ENSG00000116062,4526
SPR,ENSG00000116096,4528
SCP2,ENSG00000116171,4542
FAM20B,ENSG00000116199,4548
ICMT,ENSG00000116237,4555
ARHGEF2,ENSG00000116584,4584
PLA2G4A,ENSG00000116711,4606
GADD45A,ENSG00000116717,4607
RGS2,ENSG00000116741,4612
CRYZ,ENSG00000116791,4625
CD58,ENSG00000116815,4628
LGALS8,ENSG00000116977,4647
SDHB,ENSG00000117118,4668
KDM5B,ENSG00000117139,4671
GALE,ENSG00000117308,4692
EBNA1BP2,ENSG00000117395,4700
CDC20,ENSG00000117399,4701
IPO13,ENSG00000117408,4704
ATP6V0B,ENSG00000117410,4705
PIK3R3,ENSG00000117461,4711
SLC35A3,ENSG00000117620,4742
STMN1,ENSG00000117632,4744
RPS6KA1,ENSG00000117676,4748
DHDDS,ENSG00000117682,4749
NENF,ENSG00000117691,4750
RPA2,ENSG00000117748,4755
CTSD,ENSG00000117984,4768
KIF14,ENSG00000118193,4782
CAMSAP2,ENSG00000118200,4785
ATF6,ENSG00000118217,4786
CREB1,ENSG00000118260,4792
RXYLT1,ENSG00000118600,4831
FOXO3,ENSG00000118689,4836
SPP1,ENSG00000118785,4845
ITGB1BP1,ENSG00000119185,4877
CCDC92,ENSG00000119242,4881
HEATR1,ENSG00000119285,4884
CTNNAL1,ENSG00000119326,4888
TGFB3,ENSG00000119699,4944
DNMT3A,ENSG00000119772,4959
IDE,ENSG00000119912,4976
SMNDC1,ENSG00000119953,4988
PCMT1,ENSG00000120265,5029
ACAT2,ENSG00000120437,5049
DNAJC15,ENSG00000120675,5076
UFM1,ENSG00000120686,5078
EGR1,ENSG00000120738,5093
PLS1,ENSG00000120756,5095
SOCS2,ENSG00000120833,5103
DUSP4,ENSG00000120875,5107
SORBS3,ENSG00000120896,5110
PTK2B,ENSG00000120899,5111
LYPLA1,ENSG00000120992,5124
TBX2,ENSG00000121068,5134
SLC35B1,ENSG00000121073,5135
CAT,ENSG00000121691,5186
ZMYM2,ENSG00000121741,5188
PIK3CA,ENSG00000121879,5205
PDS5A,ENSG00000121892,5206
CXCR4,ENSG00000121966,5219
MRPS2,ENSG00000122140,5238
CISD1,ENSG00000122873,5321
ECD,ENSG00000122882,5323
ACOT9,ENSG00000123130,5345
ADGRE5,ENSG00000123146,5350
ATF1,ENSG00000123268,5364
CDK2,ENSG00000123374,5376
LPGAT1,ENSG00000123684,5416
NCOA3,ENSG00000124151,5461
VAPB,ENSG00000124164,5466
STAMBP,ENSG00000124356,5511
USP22,ENSG00000124422,5520
SPDEF,ENSG00000124664,5564
CDKN1A,ENSG00000124762,5575
SOX4,ENSG00000124766,5576
TM9SF2,ENSG00000125304,5626
DMAC2L,ENSG00000125375,5636
BMP4,ENSG00000125378,5637
NUP85,ENSG00000125450,5650
MBOAT7,ENSG00000125505,5662
IL1B,ENSG00000125538,5671
PAX8,ENSG00000125618,5675
RTN2,ENSG00000125744,5702
PSMF1,ENSG00000125818,5721
BECN1,ENSG00000126581,5834
TRAP1,ENSG00000126602,5836
TIMM17B,ENSG00000126768,5849
KTN1,ENSG00000126777,5852
PIN1,ENSG00000127445,5917
FBXL12,ENSG00000127452,5918
SYNGR3,ENSG00000127561,5934
MACF1,ENSG00000127603,5942
SMARCA4,ENSG00000127616,5943
TICAM1,ENSG00000127666,5945
PTPN12,ENSG00000127947,5964
GNAI1,ENSG00000127955,5969
ZFP36,ENSG00000128016,5978
PAICS,ENSG00000128050,5982
RAC2,ENSG00000128340,6015
CALU,ENSG00000128595,6043
CHN1,ENSG00000128656,6058
HAT1,ENSG00000128708,6063
CHAC1,ENSG00000128965,6089
ARPP19,ENSG00000128989,6091
LOXL1,ENSG00000129038,6096
DCTD,ENSG00000129187,6112
PARP2,ENSG00000129484,6147
SNX6,ENSG00000129515,6150
EAPP,ENSG00000129518,6151
REEP5,ENSG00000129625,6161
ITFG1,ENSG00000129636,6162
APOE,ENSG00000130203,6224
XPO7,ENSG00000130227,6230
FCHO1,ENSG00000130475,6269
PAK4,ENSG00000130669,6305
DNMT1,ENSG00000130816,6348
PRR7,ENSG00000131188,6416
SH3BP5,ENSG00000131370,6430
NR1H2,ENSG00000131408,6442
ACLY,ENSG00000131473,6453
IL13RA1,ENSG00000131724,6481
TOP2A,ENSG00000131747,6488
DNAJB1,ENSG00000132002,6525
LRRC41,ENSG00000132128,6537
PPARG,ENSG00000132170,6542
ENOSF1,ENSG00000132199,6546
ARFIP2,ENSG00000132254,6550
RRP8,ENSG00000132275,6554
RPA1,ENSG00000132383,6574
SNAP25,ENSG00000132639,6625
PCNA,ENSG00000132646,6627
KHDC4,ENSG00000132680,6635
IGHMBP2,ENSG00000132740,6647
DPH2,ENSG00000132768,6652
WASF3,ENSG00000132970,6690
PIK3C2B,ENSG00000133056,6701
CCNA1,ENSG00000133101,6708
TCEAL4,ENSG00000133142,6728
EPHB2,ENSG00000133216,6732
CNDP2,ENSG00000133313,6742
CCNB1,ENSG00000134057,6825
CDK7,ENSG00000134058,6826
BHLHE40,ENSG00000134107,6832
EDEM1,ENSG00000134109,6834
VAV3,ENSG00000134215,6851
PSRC1,ENSG00000134222,6853
CCNH,ENSG00000134480,6908
DDB2,ENSG00000134574,6924
ETS1,ENSG00000134954,6985
CTSL,ENSG00000135047,6998
CEMIP2,ENSG00000135048,6999
FBXO21,ENSG00000135108,7013
DMTF1,ENSG00000135164,7022
TES,ENSG00000135269,7037
CDK4,ENSG00000135446,7080
PAN2,ENSG00000135473,7088
MAP7,ENSG00000135525,7100
KCNK1,ENSG00000135750,7141
COG2,ENSG00000135775,7145
DNAJB2,ENSG00000135924,7173
CAB39,ENSG00000135932,7179
PWP1,ENSG00000136045,7202
WASHC4,ENSG00000136051,7204
SCRN1,ENSG00000136193,7233
KDELR2,ENSG00000136240,7242
BZW2,ENSG00000136261,7247
NMT1,ENSG00000136448,7274
YME1L1,ENSG00000136758,7328
TOR1A,ENSG00000136827,7340
STXBP1,ENSG00000136854,7348
TLR4,ENSG00000136869,7355
PRPF4,ENSG00000136875,7359
FPGS,ENSG00000136877,7360
TEX10,ENSG00000136891,7365
MYC,ENSG00000136997,7390
RPS6,ENSG00000137154,7417
CNPY3,ENSG00000137161,7418
TFAP2A,ENSG00000137203,7427
BPHL,ENSG00000137274,7444
IER3,ENSG00000137331,7451
PRCP,ENSG00000137509,7484
SLC37A4,ENSG00000137700,7509
MAP2K5,ENSG00000137764,7524
SQOR,ENSG00000137767,7526
NUSAP1,ENSG00000137804,7531
PAK6,ENSG00000137843,7549
